Employee_ID,Age,Department,Job_Role,Years_At_Company,Monthly_Income,Job_Satisfaction,Performance_Rating,Attrition
EMP0001,50,Sales,Manager,5,5668,4,3,No
EMP0002,36,HR,Technician,6,3802,3,3,No
EMP0003,29,Sales,Technician,11,8059,4,3,No
EMP0004,42,Finance,Technician,8,3195,2,3,No
EMP0005,40,Sales,Specialist,2,5187,4,3,Yes
EMP0006,44,R&D,Director,14,14707,4,3,No
EMP0007,32,Finance,Director,1,5330,4,3,No
EMP0008,32,Sales,Analyst,13,13551,4,3,No
EMP0009,45,Sales,Specialist,2,7841,1,3,No
EMP0010,57,Sales,Technician,11,6606,1,3,No
EMP0011,45,Sales,Technician,8,11468,1,3,Yes
EMP0012,24,Finance,Manager,11,3060,3,3,No
EMP0013,43,R&D,Manager,6,14582,3,3,No
EMP0014,23,Sales,Technician,8,13105,2,3,No
EMP0015,45,R&D,Technician,12,6927,1,3,No
EMP0016,51,Finance,Specialist,1,9296,3,3,Yes
EMP0017,59,R&D,Director,4,5591,4,3,No
EMP0018,23,IT,Manager,12,11758,4,3,No
EMP0019,42,Sales,Director,3,12763,1,3,No
EMP0020,54,Finance,Specialist,14,9121,2,3,No
EMP0021,33,IT,Technician,1,4200,2,4,Yes
EMP0022,43,Finance,Director,8,5854,4,3,No
EMP0023,46,IT,Technician,8,14087,2,3,No
EMP0024,48,Sales,Technician,5,10024,1,3,Yes
EMP0025,49,Sales,Analyst,10,12428,4,3,No
EMP0026,37,R&D,Director,5,9972,3,3,No
EMP0027,36,R&D,Director,7,3136,3,3,Yes
EMP0028,24,Sales,Technician,5,4029,2,4,No
EMP0029,58,Sales,Specialist,0,13348,4,3,No
EMP0030,28,Sales,Analyst,3,5594,4,4,No
EMP0031,42,Sales,Technician,12,10206,3,3,No
EMP0032,30,IT,Manager,6,3661,4,3,No
EMP0033,39,Sales,Manager,12,5472,4,3,No
EMP0034,25,Finance,Analyst,12,13869,4,3,No
EMP0035,46,Finance,Specialist,1,13500,2,3,No
EMP0036,35,IT,Technician,8,3086,4,3,No
EMP0037,30,HR,Director,7,13704,1,3,No
EMP0038,47,Finance,Analyst,7,9219,2,4,No
EMP0039,23,IT,Specialist,6,11143,4,4,No
EMP0040,41,IT,Director,3,9968,4,3,Yes
EMP0041,49,R&D,Manager,1,14134,1,3,Yes
EMP0042,28,Sales,Manager,2,5773,2,3,Yes
EMP0043,29,Sales,Director,11,13696,3,3,No
EMP0044,56,R&D,Analyst,5,14502,3,3,No
EMP0045,35,HR,Manager,11,4700,2,3,No
EMP0046,38,Finance,Technician,11,14862,4,3,No
EMP0047,57,Finance,Director,4,5700,4,3,No
EMP0048,25,R&D,Director,11,9815,3,4,No
EMP0049,23,IT,Manager,7,14821,3,3,No
EMP0050,27,HR,Analyst,5,4647,3,4,No
EMP0051,25,Finance,Technician,5,9038,1,3,No
EMP0052,50,IT,Analyst,0,8164,3,3,No
EMP0053,39,HR,Specialist,3,8520,1,3,No
EMP0054,47,Sales,Specialist,4,14510,2,3,No
EMP0055,55,Finance,Manager,11,6687,4,3,No
EMP0056,31,Sales,Manager,10,3596,3,3,No
EMP0057,57,R&D,Manager,2,7545,4,3,Yes
EMP0058,35,Finance,Specialist,12,11676,4,3,Yes
EMP0059,52,Sales,Analyst,8,11837,3,3,No
EMP0060,36,Finance,Analyst,0,14281,3,3,No
EMP0061,29,Sales,Manager,5,7757,2,3,No
EMP0062,35,IT,Technician,5,7384,1,3,No
EMP0063,44,R&D,Analyst,9,11912,1,3,No
EMP0064,42,IT,Specialist,4,7733,4,3,No
EMP0065,37,Finance,Director,11,10081,3,4,No
EMP0066,39,R&D,Director,14,11690,2,3,No
EMP0067,45,Sales,Director,4,10117,2,3,No
EMP0068,47,IT,Technician,9,7729,2,3,No
EMP0069,46,Sales,Manager,13,4673,2,3,No
EMP0070,50,R&D,Specialist,12,14259,2,3,No
EMP0071,36,Sales,Technician,4,11306,1,3,Yes
EMP0072,22,Sales,Specialist,5,14171,1,3,No
EMP0073,46,Finance,Specialist,7,12928,1,3,No
EMP0074,28,HR,Manager,1,14803,3,3,No
EMP0075,30,Sales,Director,5,10178,4,3,Yes
EMP0076,45,R&D,Manager,0,13445,2,3,No
EMP0077,22,HR,Technician,3,5294,3,4,Yes
EMP0078,29,Sales,Technician,13,6630,2,3,No
EMP0079,45,R&D,Technician,9,3146,1,3,No
EMP0080,32,IT,Manager,2,6453,3,3,Yes
EMP0081,38,HR,Specialist,8,7507,1,3,No
